nome_do_nomeado,secretaria,tipo_de_secretaria,data_nomeacao,ministro_nomeacao,partido_ministro,sexo,governo_nom,partido_nom,part_presidente_camara_momento_nomeacao,filiacao_partidaria,partido,uf_partido,circulacao_organizacional_externa_patronal_sindical_ou_organismo,organizacao,permanencia_cargo,autonomia,nivel_escolaridade,graduacao_curso,graduacao_sociais_aplicadas_agrarias_outras,emprego_cargo_instituicao_trajet_pre_resumido2,emprego_cargo_instituicao_trajet_pos_resumido2
José Carlos Vaz ,Secretaria de Política Agrícola,planejamento_estrategico,17/5/2011,Wagner Rossi,PMDB,M,Dilma1,PT,PT,nao,sem_partido,,nao,,03.53,nao,mestrado_ou_doutorado,Direito,sociais_aplicadas,Burocrata_insider,Burocrata_insider
Rodrigo José Preira Leite Figueiredo,Secretaria da Defesa Agropecuária,execucao_de_pol_pub,14/8/2013,Antônio Andrade ,PMDB,M,Dilma1,PT,PMDB,nao,sem_partido,,nao,,17.9,sim,graduacao_ou_especializacao,Direito,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
Dayvson Franklin de Souza,Secretaria de Aquicultura e Pesca,execucao_de_pol_pub,3/8/2016,Blairo Maggi,PPB_PP,M,Temer,PMDB,PFL_DEM,nao,sem_partido,,nao,,29.16,nao,graduacao_ou_especializacao,Direito,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
Raphael Vianna de Menezes,Secretaria Executiva,planejamento_estrategico,25/8/2017,Blairo Maggi,PPB_PP,M,Temer,PMDB,PFL_DEM,nao,sem_partido,,nao,,16.33,nao,graduacao_ou_especializacao,Direito,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
Celso Toshito Matsuda,Secretaria Executiva,planejamento_estrategico,14/5/1999,Francisco Turra,PPB_PP,M,FHC2,PSDB,PMDB,sim,PSDB,SP,nao,,2.2,nao,mestrado_ou_doutorado,Direito,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
Marcio Fortes de Almeida,Secretaria Executiva,planejamento_estrategico,19/7/1999,Francisco Turra,PPB_PP,M,FHC2,PSDB,PMDB,sim,PSDB,RJ,nao,,41.4,nao,mestrado_ou_doutorado,Direito,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
Ricardo Alves da Conceição,Secretaria Executiva,planejamento_estrategico,16/6/1995,José Eduardo de Andrade Vieira,PTB,M,FHC1,PSDB,PFL_DEM,nao,sem_partido,,nao,,06.63,nao,graduacao_ou_especializacao,Economia,sociais_aplicadas,Burocrata_insider,Burocrata_outsider
Tatiana Lipovetskaia Palermo,Secretaria de Relações Internacionais do Agronegócio,planejamento_estrategico,21/1/2015,Kátia Abreu,PMDB,F,Dilma2,PT,PMDB,nao,sem_partido,,nao,,15.7,nao,mestrado_ou_doutorado,Direito,sociais_aplicadas,Mercado,Burocrata_outsider
Marlon Carvalho Cambraia,Secretaria de Aquicultura e Pesca,execucao_de_pol_pub,3/5/2016,Kátia Abreu,PMDB,M,Dilma2,PT,PMDB,sim,PSDB,CE,nao,,1.86,nao,mestrado_ou_doutorado,Direito,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
Benedito Rosa do Espírito Santo,Secretaria de Política Agrícola,planejamento_estrategico,6/1/2000,Marcus Vinícius Pratini de Moraes,PPB_PP,M,FHC2,PSDB,PMDB,nao,sem_partido,,nao,,28.09,nao,mestrado_ou_doutorado,Administracao,sociais_aplicadas,Burocrata_insider,Burocrata_outsider
Manoel Antônio Rodrigues Palma,Secretaria de Desenvolvimento Rural / Agropecuário e cooperativismo / Apoio Rural e Cooperativismo,execucao_de_pol_pub,2000,Marcus Vinícius Pratini de Moraes,PPB_PP,M,FHC2,PSDB,PMDB,sim,PTB,,nao,,22,nao,graduacao_ou_especializacao,Direito,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
Vilmondes Olegário da Silva,Secretaria de Produção e Agroenergia / Comercialização,execucao_de_pol_pub,4/6/2007,Reinhold Stephanes,PMDB,M,Lula2,PT,PT,nao,sem_partido,,nao,,1.2,nao,graduacao_ou_especializacao,Economia,sociais_aplicadas,Burocrata_insider,Mercado
Célio Brovino Porto,Secretaria de Relações Internacionais do Agronegócio,planejamento_estrategico,17/1/2006,Roberto Rodrigues,sem_partido,M,Lula1,PT,PCdoB,nao,sem_partido,,nao,,90.56,sim,graduacao_ou_especializacao,Economia,sociais_aplicadas,Burocrata_insider,Mercado
