UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Transferencia_percapita,Vl_Liberado
PI,TERESINA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,0.026340284008722,83255
GO,GOIANIA,MINISTERIO DO TURISMO,2008,Luiz Barretto Filho,PT,PP,0.0143630551671892,83952
BA,SALVADOR,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,0.00581607180090623,85131.96
CE,FORTALEZA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2008,Guilherme Cassel ,PT,PSB,0.0106502233529341,90000
TO,PALMAS,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PMDB,0.0696566931181509,90000
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PT,0.0062101345570145,90900
BA,SALVADOR,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,0.00633036453831441,92659.85
MA,SAO LUIS,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PMDB,0.0138668236099166,95000
CE,FORTALEZA,MINISTERIO DOS DIREITOS HUMANOS,2010,Paulo Vannuchi,PT,PSB,0.0113207359563829,95638.2
RJ,NITEROI,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PMDB,0.00600108841555714,96080
BA,SALVADOR,MINISTERIO DA JUSTICA,2016,Eugênio Aragão,PT,PT,0.00633607920160664,96333.33
SP,SAO PAULO,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PSDB,0.00238936008971288,99366.06
RJ,RIO DE JANEIRO,MINISTERIO DA EDUCACAO,2015,Renato Janine Ribeiro,PT,PMDB,0.0060080033720797,99432.6
SE,ARACAJU,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PT,0.0478518583029913,100000
MT,CUIABA,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PMDB,0.0325112114912828,100000
BA,FEIRA DE SANTANA,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PT,0.00709354031716496,100000
PE,RECIFE,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,0.0111969193244048,100000
BA,SALVADOR,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PT,0.00709354031716496,100000
CE,FORTALEZA,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PT,0.0112303285354001,100000
PE,RECIFE,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSB,0.0111969193244048,100000
BA,VITORIA DA CONQUISTA,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PT,0.00664710777361307,100000
DF,BRASILIA,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PT,0.0350585407513466,100000
AP,MACAPA,MINISTERIO DA DEFESA,2013,Celso Amorim,PT,PSB,0.136055162204964,100000
PB,JOAO PESSOA,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PSB,0.0262111449264004,100000
MS,CAMPO GRANDE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PMDB,0.0423639418461698,100000
MA,SAO LUIS,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PMDB,0.0150474030815577,100000
MS,CAMPO GRANDE,MINISTERIO DO TURISMO,2008,Luiz Barretto Filho,PT,PMDB,0.0428071563291665,100000
AC,RIO BRANCO,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,0.144690160490326,100000
BA,SALVADOR,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,0.00683183119583553,100000
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,Márcia Lopes,PT,PT,0.00713193916284728,100000
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,Márcia Lopes,PT,PT,0.00713193916284728,100000
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,Márcia Lopes,PT,PT,0.00713193916284728,100000
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,Márcia Lopes,PT,PT,0.00713193916284728,100000
PE,RECIFE,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PSB,0.0108594729897758,100000
AC,RIO BRANCO,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PT,0.13398090772065,100000
PR,CURITIBA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2008,Patrus Ananias,PT,PMDB,0.00944271994148535,100000
RN,NATAL,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2008,Patrus Ananias,PT,PSB,0.0321912935427484,100000
AC,RIO BRANCO,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,Patrus Ananias,PT,PT,0.144690160490326,100000
AC,RIO BRANCO,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,Patrus Ananias,PT,PT,0.144690160490326,100000
AC,RIO BRANCO,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,Patrus Ananias,PT,PT,0.144690160490326,100000
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,Patrus Ananias,PT,PT,0.00683183119583553,100000
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PT,0.00657724507354478,100000
AP,MACAPA,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PDT,0.159589153682759,100000
AP,MACAPA,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PDT,0.159589153682759,100000
AP,MACAPA,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PDT,0.159589153682759,100000
RN,NATAL,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PSB,0.0318720934642766,100000
BA,SALVADOR,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PT,0.00683183119583553,100000
SP,CAMPINAS,MINISTERIO DA SAUDE,2015,Arthur Chioro,PT,PSDB,0.00225243062040679,100000
PR,CURITIBA,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PSDB,0.00945380187005655,100000
MS,CAMPO GRANDE,MINISTERIO DO TURISMO,2008,Luiz Barretto Filho,PT,PMDB,0.0428075844007298,100001
RS,PORTO ALEGRE,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PT,0.00930946391766552,100268.54
MT,CUIABA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2014,Tereza Campello,PT,PMDB,0.0311224780630681,100349.98
MS,CAMPO GRANDE,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PMDB,0.0401981886464667,100700
RS,PORTO ALEGRE,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PT,0.00898652071859758,100714.4
AP,MACAPA,MINISTERIO DOS DIREITOS HUMANOS,2010,Paulo Vannuchi,PT,PDT,0.150919186647305,100918
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2008,Guilherme Cassel ,PT,PT,0.0323749389764455,101000
TO,PALMAS,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,0.0781857682088401,101020
ES,VITORIA,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PSB,0.0285315785422833,101201.88
BA,VITORIA DA CONQUISTA,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,0.00717795783537059,101750
PB,JOAO PESSOA,PRESIDENCIA DA REPÚBLICA,2015,Miguel Rossetto,PT,PSB,0.0257232285769958,102177.86
BA,SALVADOR,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,0.0070003724714368,102467
BA,VITORIA DA CONQUISTA,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PT,0.00674064686152939,102484.35
ES,VITORIA,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PSB,0.0288248431345752,103137.22
ES,VITORIA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2012,Pepe Vargas,PT,PSB,0.028861798842783,103269.45
PI,TERESINA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PT,0.0328919904938281,103456
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,Guilherme Cassel ,PT,PT,0.0136516783301384,103590
AC,RIO BRANCO,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PT,0.139058998492715,103790.16
MT,CUIABA,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PMDB,0.0337612675731226,103845
BA,VITORIA DA CONQUISTA,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,0.0073323498884436,103938.56
PE,RECIFE,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PSB,0.0117822595719273,104447.41
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,Guilherme Cassel ,PT,PT,0.0141286122228173,104990
