UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Vl_Liberado
SP,SAO PAULO,MINISTERIO DA SAUDE,2012,nao,sim,8606957.48
SP,GUARULHOS,MINISTERIO DA SAUDE,2012,nao,sim,2310000
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,nao,sim,4458099.43
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,nao,sim,263888.76
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,nao,sim,195000
SP,SAO PAULO,MINISTERIO DA JUSTICA,2012,nao,sim,276263.1
SP,CAMPINAS,MINISTERIO DA SAUDE,2012,nao,sim,661583.24
SP,CAMPINAS,MINISTERIO DA SAUDE,2012,nao,sim,2746972.8
SP,CAMPINAS,MINISTERIO DA SAUDE,2012,nao,sim,615800
RJ,RIO DE JANEIRO,MINISTERIO DO TRABALHO E EMPREGO,2012,nao,sim,19323951.19
SP,SAO PAULO,MINISTERIO DA JUSTICA,2012,nao,sim,417918.92
SP,SAO PAULO,MINISTERIO DA SAUDE,2012,nao,sim,3777980
SP,CAMPINAS,MINISTERIO DA SAUDE,2012,nao,sim,341215.1
SP,CAMPINAS,MINISTERIO DA CULTURA,2013,nao,sim,109368
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,nao,sim,282998.05
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,nao,sim,3217762.46
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,nao,sim,246144.12
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,nao,sim,3209394.64
SP,BOTUCATU,MINISTERIO DA SAUDE,2012,nao,sim,268911.39
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,nao,sim,2223000
SP,CAMPINAS,MINISTERIO DA SAUDE,2012,nao,sim,1111111.11
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,nao,sim,152000
SP,SAO PAULO,MINISTERIO DA SAUDE,2012,nao,sim,16000
SP,CAMPINAS,MINISTERIO DA SAUDE,2012,nao,sim,3654150.2
RJ,RIO DE JANEIRO,MINISTERIO DO TRABALHO E EMPREGO,2012,nao,sim,1577000
SP,SAO PAULO,MINISTERIO DA JUSTICA,2012,nao,sim,597141.78
SP,SAO PAULO,MINISTERIO DA SAUDE,2012,nao,sim,674012.72
SP,MARILIA,MINISTERIO DA SAUDE,2012,nao,sim,337067.9
SP,SAO PAULO,MINISTERIO DA JUSTICA,2012,nao,sim,294552
SP,SAO PAULO,MINISTERIO DA JUSTICA,2012,nao,sim,120074.26
SP,CAMPINAS,MINISTERIO DA EDUCACAO,2013,nao,sim,2862243.49
